DateSetUp,Sample,Plate,SampleNum,Virus,PlateLayout,StartDil,DilFactor
201018,0840-2,Plate1,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0850-2,Plate1,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0853-2,Plate2,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0856-2,Plate2,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0864-2,Plate3,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0867-2,Plate3,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0874-2,Plate4,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0879-2,Plate4,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0793-2,Plate5,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0805-2,Plate5,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0810-2,Plate6,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0815-2,Plate6,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0817-2,Plate7,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0834-2,Plate7,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0829-2,Plate8,1,S-d21-D614G,layout2.csv,0.016666667,3
201018,0825-2,Plate8,2,S-d21-D614G,layout2.csv,0.016666667,3
201018,0829-1,Plate9,1,S-d21-D614G,layout1.csv,0.008333333,3
201018,0879-1,Plate9,2,S-d21-D614G,layout1.csv,0.008333333,3
201018,Ty1,Plate9,3,S-d21-D614G,layout1.csv,6.778,3
201018,2017-2018 Serum Pool,Plate9,4,S-d21-D614G,layout1.csv,0.05,3